Date;Genre;identifiant;Annee_diplome;Type_formation;Filiere;Situation;Secteur;Nature_contrat;France;Region;Pays;Anciennete;Nom_entreprise;Taille_entreprise;Departement;Intitule_poste;Secteur_activite;Salaire_annuel;Responsabilite_hierarchique;Responsabilite_budget;Responsabilite_equipe;Responsabilite_projet;Satisfaction_globale;Saitisfaction_relations;Satisfaction_salaire;Satisfaction_autonomie;Satisfaction_localisation
11/01/2020 16:48;Femme;1889055177194690    ;2017;Initiale;STE;Activite;Prive;CDI;France;Auvergne-Rhone-Alpes;;6;SEGULA ENGINEERING FRANCE;5000_;Etudes - Conseil et expertise (autre qu'informatique);Ingenieure environnement/hydrobiologiste;Autres activites specialisees, scientifiques et techniques;34200;OUI;NON;NON;OUI;4;5;3;4;5
10/01/2020 20:04;Femme;1782462668826500    ;2017;Initiale;GBA;Activite;Prive;CDI;France;Bourgogne-Franche-Comte;;12;Erhard patissier glacier ;250_4999;Recherche-developpement, etudes scientifiques et techniques (autre qu'informatique);Chef de projet R&D Patisserie et friture ;Industrie agroalimentaire ;32000;OUI;OUI;NON;OUI;5;5;4;4;5
10/01/2020 16:56;Homme;1777070157836320    ;2017;Initiale;MEA;These;;;;;;;;;;;;;;;;;;;;;
22/01/2020 18:59;Femme;1776102123724400    ;2017;Initiale;MAT;Volontariat;;;;;;;;;;;;;;;;;;;;;
10/01/2020 16:29;Homme;1783556163890680    ;2017;Initiale;MAT;These;;;;;;;;;;;;;;;;;;;;;
10/01/2020 16:58;Homme;1793784758855770    ;2017;Apprentissage;MSI;Activite;Prive;CDI;France;Auvergne-Rhone-Alpes;;25;Efor;250_4999;Recherche-developpement, etudes scientifiques et techniques (autre qu'informatique);Ingenieur rd consultant;Metallurgie et fabrication de produits metalliques a l'exception des machines et des equipements;;NON;NON;NON;OUI;2;3;;4;4
10/01/2020 16:54;Femme;1799420083152780    ;2017;Professionalisation;GBA;Activite;Public;Titulaire de la fonction publique;France;ile-de-France;;15;DGCCRF (Direction generale de la concurrence de la consommation et de la repression des fraudes);250_4999;DDPP (Direction departementale de la protection des populations);Inspecteur specialise dans les produits alimentaires;Industrie agroalimentaire ;;NON;NON;NON;OUI;5;5;4;4;2
10/01/2020 16:38;Femme;1788516703227880    ;2017;Professionalisation;GBA;Activite;Prive;CDI;France;Occitanie;;6;Alten Sud Ouest;250_4999;Production - Exploitation ;Aircraft Manager;Industrie automobile, aeronautique, navale, ferroviaire;31000;NON;NON;OUI;OUI;4;5;2;5;5
13/01/2020 22:17;Homme;1782336119224670    ;2017;Initiale;MEA;Activite;Prive;CDI;Etranger;;Suisse;10;Go Concept;250_4999;Informatique industrielle et technique ;Ingenieur systemes embarques;Societes de conseil ou d'ingenieurie, bureaux d'etudes independants;72540;NON;NON;NON;NON;4;5;5;4;4
10/01/2020 20:33;Homme;1789078678917470    ;2017;Professionalisation;MI;Activite;Prive;CDI;France;Auvergne-Rhone-Alpes;;9;Solutec;250_4999;Etudes et developpement en systemes d'information ;Ingenieur d'etudes ;Activites informatiques et services d'information (TIC services);35000;NON;NON;NON;NON;4;3;4;4;5
15/01/2020 14:39;Homme;1767833505039570    ;2017;Apprentissage;SE;These;;;;;;;;;;;;;;;;;;;;;
